"","P02004.LIF14","P02005.LIF16","P02008.LIF09"
"Cpne2",166.178347898214,96.1313337863148,392.679799195626
"Fam192a",1706.09770508833,2370.92230160109,2400.9564865104
"Rspry1",769.03646555118,718.605514937303,1024.33330475888
"Arl2bp",1637.77993984129,1241.14118076589,1503.40265977754
"Pllp",15.6946217459425,31.4092476727563,67.3165370049645
"Gnb1-ps3",7.38570435103174,7.61436307218335,5.60971141708038
"Cx3cl1",144.021234845119,73.2882445697647,63.9507101547163
"Ciapin1",2609.92327504584,3623.48502697525,2707.24672988299
"Coq9",797.656069911428,1154.5278008198,1080.43041892968
"Polr2c",1448.5212658461,1792.23070811516,2673.58846138051
"Dok4",2.7696391316369,6.66256768816043,12.3413651175768
"Ccdc102a",188.335460951309,301.719136735265,65.0726524381324
"Adgrg5",5.53927826327381,6.66256768816043,67.3165370049645
"Gm10286",0.923213043878968,4.75897692011459,4.4877691336643
"Adgrg1",144.944447888998,123.733399922979,157.071919678251
"Adgrg3",0.923213043878968,1.90359076804584,8.9755382673286
"Drc7",23.0803260969742,42.8307922810313,132.389189443097
"Katnb1",918.596978659573,806.170690267412,1394.57425828618
"Kifc3",406.213739306746,426.404332042267,1075.94264979602
"Cngb1",109.862352221597,151.335466059644,74.048190705461
"Tepp",18.4642608775794,4.75897692011459,56.0971141708038
"Zfp319",335.126334928065,158.949829131827,37.0240953527305
"Usb1",950.909435195337,1025.08362859268,1294.72139506215
"Mmp15",615.783100267271,306.47811365538,668.677600915981
"Cfap20",2533.29659240389,2508.93263228441,4465.33028799598
"Csnk2a2",4232.93180618507,4391.58390188175,9483.77812171608
"4933406B17Rik",10.1553434826686,0.951795384022918,1.12194228341608
"Ccdc113",60.0088478521329,53.3005415052834,238.973706367624
"Prss54",0.923213043878968,0.951795384022918,1.12194228341608
"Gm5912",271.424634900416,187.503690652515,67.3165370049645
"Gm31518",71.0874043786805,103.745696858498,103.218690074279
"Gins3",530.847500230406,573.93261656582,466.727989901087
"Gm6013",2.7696391316369,0,1.12194228341608
"Ndrg4",432.063704535357,330.272998255953,622.677967295922
"Setd6",877.975604728898,1069.81801164176,2737.53917153522
"Cnot1",13588.7727928545,11672.8185896571,24599.7065061809
"4930513N10Rik",72.0106174225595,92.3241522502231,40.3899222029787
"Sap18b",2018.14371391942,2713.56863984934,1541.54869741369
"Gm31805",19.3874739214583,17.1323169124125,11.2194228341608
"Slc38a7",1531.61043979521,999.385153224064,2311.20110383711
"Got2",3903.34474952028,4449.64342030714,4693.08457152944
"Gm45895",21.2339000092163,35.216429208848,33.6582685024823
"Gm32005",12.9249826143055,4.75897692011459,8.9755382673286
"Gm32122",10.1553434826686,26.6502707526417,14.585249684409
"Gm5131",363.745939288313,351.212496704457,383.704260928298
"Gm5913",8589.57416024991,10826.6724932607,3972.79762557632
"Gm7191",0.923213043878968,4.75897692011459,3.36582685024823
"Gm45246",719.182961181716,851.856868700512,687.750619734054
"Gm7192",897.363078650357,1273.50222382266,316.387723923333
"Cdh8",64.6249130715277,86.6133799460856,58.3409987376359
"A330008L17Rik",21.2339000092163,10.4697492242521,5.60971141708038
"Impdh2-ps",11592.7861919882,14853.7187630617,16670.9403892795
"Gm45296",347.128104498492,315.044272111586,371.362895810721
"Gm39232",2.7696391316369,0.951795384022918,1.12194228341608
"Gm45422",690.563356821468,1032.69799166487,378.094549511217
"Cdh11",115.401630484871,78.0472214898793,148.096381410922
"Gm8730",17090.5198682875,21852.2702217822,17123.0831294961
"4933400L20Rik",3.69285217551587,1.90359076804584,1.12194228341608
"Gm29682",3.69285217551587,4.75897692011459,14.585249684409
"Cdh5",17.5410478337004,12.3733399922979,11.2194228341608
"Gm45663",1.84642608775794,2.85538615206876,3.36582685024823
"Bean1",0.923213043878968,0,5.60971141708038
"Gm45750",94.1677304756547,57.1077230413751,66.1945947215484
"Tk2",473.60829150991,537.764391972949,1281.25808766116
"Cklf",351.744169717887,348.357110552388,555.361430290957
"Gm45710",12.0017695704266,14.2769307603438,19.0730188180733
"Cmtm3",219.724704443194,124.685195307002,231.120110383711
"Cmtm4",4151.68905832372,3998.49240828028,6414.1440342897
"Dync1li2",1527.91758761969,1512.40286521242,3405.09483016779
"K230015D01Rik",4.61606521939484,10.4697492242521,2.24388456683215
"Terb1",73.8570435103174,80.9026076419481,56.0971141708038
"Nae1",1388.51241799397,1453.391551403,4188.21054399221
"Car7",47.0838652378274,58.059518425398,20.1949611014894
"Pdp2",623.168804618303,552.993118117316,1188.13687813762
"Cdh16",1.84642608775794,0.951795384022918,6.73165370049645
"Rrad",11.0785565265476,32.3610430567792,11.2194228341608
"Gm33023",4.61606521939484,1.90359076804584,4.4877691336643
"Ciao2b",480.993995860942,502.547962764101,668.677600915981
"1700082M22Rik",6.46249130715277,3.80718153609167,6.73165370049645
"4932416K20Rik",1.84642608775794,0.951795384022918,1.12194228341608
"Matr3-ps2",1857.50464428448,1809.36302502757,1145.50307136781
"Gm8798",11.0785565265476,6.66256768816043,0
"Ces2e",2.7696391316369,7.61436307218335,8.9755382673286
"Ces2f",4.61606521939484,2.85538615206876,49.3654604703073
"Ces2g",10.1553434826686,2.85538615206876,29.170499368818
"Ces2h",33.2356695796428,19.0359076804584,29.170499368818
"Gm8804",298.197813172907,284.586819822853,179.510765346572
"Ces4a",26.7731782724901,41.8789968970084,33.6582685024823
"Gm3830",2.7696391316369,7.61436307218335,14.585249684409
"Cbfb",2742.86595336441,3181.85196878862,3600.31278748219
"D230025D16Rik",2268.33444881062,1512.40286521242,5142.98342717929
"B3gnt9",10.1553434826686,18.0841122964354,12.3413651175768
"Tradd",152.33015224003,174.178555276194,251.315071485201
"Fbxl8",29.542817404127,25.6984753686188,22.4388456683215
"Hsf4",11.0785565265476,25.6984753686188,164.925515662163
"Nol3",29.542817404127,27.6020661366646,33.6582685024823
"4931428F04Rik",200.337230521736,272.213479830555,449.898855649846
"Exoc3l",102.476647870565,524.439256596628,343.314338725319
"E2f4",3824.87164079056,5592.74967651867,5558.10207204324
"Elmo3",169.87120007373,126.588786075048,411.7528180137
"Lrrc29",53.5463565449801,50.4451553532147,139.120843143593
"Tmem208",340.665613191339,728.123468777532,986.18726712273
"Fhod1",203.106869653373,118.974423002865,232.242052667128
"Slc9a5",397.904821911835,423.548945890199,1829.88786425162
"Plekhg4",103.399860914444,69.481063033673,181.754649913404
"Kctd19",37.8517347990377,10.4697492242521,100.974805507447
"Lrrc36",19.3874739214583,24.7466799845959,24.6827302351537
"Tppp3",147.714087020635,99.9385153224064,74.048190705461
"Zdhhc1",208.646147916647,83.7579937940168,455.508567066927
"Hsd11b2",24.9267521847321,34.2646338248251,15.7071919678251
"Atp6v0d1",2589.6125880805,2232.91197091777,4217.38104336103
"Gm38250",0.923213043878968,1.90359076804584,0
"Agrp",43.3910130623115,28.5538615206876,59.462941021052
"Ctcf",5460.80515454409,6189.52538230104,5461.61503566945
"Carmil2",211.415787048284,230.334482933546,934.577922085591
"Acd",675.791948119404,644.365474983516,1025.45524704229
"Pard6a",193.874739214583,291.249387511013,118.925882042104
"Enkd1",468.992226290516,516.824893524445,519.459277221643
"4933405L10Rik",6.46249130715277,6.66256768816043,54.9751718873877
"Gfod2",425.601213228204,610.100841158691,927.846268385094
"Ranbp10",1688.55665725463,1517.16184213253,2737.53917153522
"Tsnaxip1",49.8535043694643,50.4451553532147,59.462941021052
"Cenpt",2346.80755754034,2416.60848003419,9855.1410175268
"Thap11",1117.08778309355,1489.55977599587,885.212461615283
"4930578M07Rik",4.61606521939484,1.90359076804584,2.24388456683215
"Nutf2",2118.77393570223,3143.7801534277,2743.1488829523
"Edc4",3248.78670141009,3632.05118543146,8619.88256348571
