"","LIF_HTKO_17","LIF_HTKO_25","LIF_TGA_20","LIF_TGA_22"
"Med19",1832.88103550458,1533.19827380054,1641.19261685814,2014.24929070091
"Zdhhc5",2714.28490518067,2762.40795613861,3160.42416739622,1785.6721703669
"Clp1",1687.66890371887,1675.4720041071,1716.09783869251,815.951053798375
"Ypel4",127.482743602576,70.6950212703418,106.595892610447,36.0182129011167
"Gm19426",40.5243158471764,59.2070803139113,55.6987546973507,146.843483366091
"Serping1",638.257974593028,429.472254217326,508.011055774112,1051.45475353645
"Ube2l6",1572.00575223838,630.069377071921,891.180075157611,2686.12749289482
"Smtnl1",753.921126073511,443.611258471395,751.933188414234,781.318156778071
"Timm10",925.305211843861,828.015436628878,1280.11103468221,773.006261493198
"Slc43a1",1763.65199593232,1387.38979243046,1246.49971719243,1938.05691725624
"Rtn4rl2",13.5081052823921,17.6737553175854,18.2461437801666,26.3210017354315
"Slc43a3",572.405961341367,387.055241455121,191.104348013324,148.228799246904
"P2rx3",283.670210930235,156.412734560631,61.4606948384559,80.3483210871066
"Ssrp1",11275.0466278967,11181.3013016704,13572.2500023734,10748.6659192217
"Tnks1bp1",1801.64354203905,2114.6648237491,2099.26685807601,793.785999705381
"4930443O20Rik",20.2621579235882,21.2085063811025,52.817784626798,15.238474688934
"Gm13712",696.511678623344,594.72186643675,549.3049601187,326.934547871675
"Gm40020",152.810441007061,145.80848137008,87.3894254734295,19.3944223313706
"Olfr1033",13.5081052823921,17.6737553175854,16.3254970664648,6.92657940406091
"Gm13719",2001.73235153448,2148.24495885251,1820.77308458926,1539.08594358233
"Gm13733",36.3030329464288,18.5574430834647,22.0874372075701,42.9447923051777
"Nlk-ps1",204.310092396181,257.153139870868,169.977234162605,157.926010412589
"Gm13730",55.7209342898675,46.8354515916014,36.4922875603332,49.8713717092386
"Gm13735",138.458079144519,120.181536159581,118.119772892657,124.678429273096
"Gm13731",195.867526594686,156.412734560631,163.254970664648,205.026750360203
"Gm1826",1574.53852197883,1677.23937963886,2184.73563683574,1166.43597164386
"Pramel7",336.858375479654,13.2553164881891,38.4129342740349,418.365396005279
"Pramel6",153.654697587211,10.6042531905513,18.2461437801666,119.137165749848
"Gm13738",54.876677709718,53.0212659527564,45.135197771991,52.6420034708629
"Gm13736",471.939428303575,450.680760598429,580.035307537928,383.732498984975
"Olfr153",9.28682238164459,2.65106329763782,1.92064671370175,19.3944223313706
"Gm13740",439.013421677744,390.589992518638,353.398995321121,408.668184839594
"Gm13744",306.465138594271,328.731848907089,273.692156702499,249.356858546193
"Gm13743",346.989454441448,305.755966994228,482.082325139138,689.887308644467
"Olfr1131",1.68851316029902,0,0,1.38531588081218
"Olfr1152",2.53276974044852,1.76737553175855,1.92064671370175,4.15594764243655
