"","gene1","gene2","correlation","pvalue"
"16242","Stip1","Tpp2",0.282301697852817,0.000994217601816277
"18584","Stip1","Mxi1",0.281871600239948,0.00101286573737728
"19085","Stip1","Rab7l1",0.281789112876478,0.00101647858349296
"11013","Stip1","Dpm1",0.281635946664358,0.00102321836556246
"6245","Stip1","Syce2",0.281287827766716,0.00103868897804904
"3482","Stip1","Bivm",0.280826914617788,0.00105950141363546
"10431","Stip1","Gpd2",0.28067791113004,0.00106631076690579
"18961","Stip1","Fads1",0.280354013224881,0.00108125091750025
"12356","Stip1","Eif4b",0.279892386754701,0.00110287483749969
"9115","Stip1","Epb4.9",0.279318626118319,0.00113030220205503
"21609","Stip1","Mks1",0.279297472543353,0.00113132521363742
"577","Stip1","Rbm22",0.279235359867492,0.00113433394654154
"575","Stip1","Bcl2l14",0.278907287704474,0.00115034738186606
"20080","Stip1","Got1l1",0.278550076919566,0.00116801774803711
"18994","Stip1","Cherp",0.278525739676232,0.00116923062829551
"10700","Stip1","Pgam1",0.278498865005056,0.00117057130130368
"21546","Stip1","Gm4535.1",0.278362417559287,0.00117739982239482
"8987","Stip1","Itga6",0.277900984956991,0.00120076268625629
"9939","Stip1","Ttll6",0.277739779158586,0.00120902398207277
"14438","Stip1","Nfatc4",0.277424338022086,0.00122533966589111
"12919","Stip1","Camk2g",0.276897073357743,0.00125306094366858
"2885","Stip1","Fpgs",0.276098863977616,0.00129611771896642
"982","Stip1","4632434I11Rik",0.276071447029271,0.00129762032975719
"10438","Stip1","Akt2",0.27604678691259,0.00129897320724218
"18807","Stip1","Ecd",0.275916206050054,0.00130615846847897
"15893","Stip1","Rpgrip1",0.27587907851537,0.0013082080345792
"19012","Stip1","Gas5",0.275832212994874,0.0013107993592948
"17553","Stip1","Srp9",0.275391760916148,0.0013353829501684
"7872","Stip1","Sntb2",0.275267549820484,0.00134239133272025
"136","Stip1","Prpf6",0.275207075481606,0.00134581561203781
"3666","Stip1","Saal1",0.274996004892218,0.00135782971348323
"3968","Stip1","Dnajb2",0.27495922208981,0.00135993336209495
"12058","Stip1","Psmd12",0.274948116500436,0.00136056908665096
"18744","Stip1","Mrto4",0.274776677722262,0.00137041730745002
"4349","Stip1","Mybl2",0.274682259461307,0.0013758688303218
"18963","Stip1","L3mbtl2",0.274572656490175,0.00138222187843338
"19299","Stip1","Kpnb1",0.274442734219337,0.00138978734945295
"16283","Stip1","Ceacam1",0.274441871725602,0.00138983769898023
